signposted region: 10892 rows

Matmul total: kernel 228074.90 ms, PM-BW 43.487 ms

in0                        in1                        out                          cnt   kern_ms   pmBW_ms  pmBW_%  bnd
-----------------------------------------------------------------------------------------------------------------------------
1[1]x1[1]x32[1]x3840[3840] 1[1]x1[1]x3840[3840]x3840[ 1[1]x1[1]x32[1]x3840[3840]   576 165152.19    30.899   71.05   BW
1[1]x1[1]x32[1]x3840[3840] 1[1]x1[1]x3840[3840]x65536 1[1]x1[1]x32[1]x65536[6553     4      0.00     3.662    8.42   BW
1[1]x1[1]x32[1]x3840[3840] 1[1]x1[1]x3840[3840]x512[5 1[1]x1[1]x32[1]x512[512]     352      7.66     2.518    5.79   BW
1[1]x1[1]x32[1]x3840[3840] 1[1]x1[1]x3840[3840]x1024[ 1[1]x1[1]x32[1]x1024[1024]   160      4.38     2.289    5.26   BW
1[1]x1[1]x32[1]x1024[1024] 1[1]x1[1]x1024[1024]x3840[ 1[1]x1[1]x32[1]x3840[3840]   160  47182.12     2.289    5.26   BW
1[1]x1[1]x32[1]x3840[3840] 1[1]x1[1]x3840[3840]x2048[ 1[1]x1[1]x32[1]x2048[2048]    32   7864.50     0.916    2.11   BW
1[1]x1[1]x32[1]x2048[2048] 1[1]x1[1]x2048[2048]x3840[ 1[1]x1[1]x32[1]x3840[3840]    32   7864.04     0.916    2.11   BW
